"codice_cli","ragione_sociale","anno_ftt","sez_ftt","nro_ftt","data_reg_ftt","causale_ddt","anno_ddt","nro_ddt","data_reg_ddt","codice_art","descrizione_art","descrizione_agg","tipologia_art","qta_venduta","prz_venduto","val_venduto","cagen","traso","pprov_sagen_1","cport"
"3","PELLINI SPA","2023","V01","361","31/08/2023 00:00:00","BCIV","2023","700","01/08/2023 00:00:00","PEL92-00","COD. SL2994 MOTORIDUTTORE K280 + MOT. ACRE",,"MRCU","1500","15","22500","2","GARAVAGLIA STEFANO","0","ASS"
"3","PELLINI SPA","2023","V01","361","31/08/2023 00:00:00","BCIV","2023","742","30/08/2023 00:00:00","CP02611-00","COD.SL2994-L MOTORIDUTTORE K280 + MOT.CONSTAR  ",,"MRCU","10","15","150","2","GARAVAGLIA STEFANO","0","ASS"
"3","PELLINI SPA","2023","V01","361","31/08/2023 00:00:00","BCIV","2023","742","30/08/2023 00:00:00","CP02612-00","COD. SL2994-L ASSY FLANGIA+PIGNONE+MOTORE",,"MRCU","2","1,9","3,8","2","GARAVAGLIA STEFANO","0","ASS"
"49","TOPP S.R.L.","2023","V01","362","31/08/2023 00:00:00","BCIV","2023","710","01/08/2023 00:00:00","TO02","COD. 1A1651 CORONA Z40 M0.6 - REV.03",,"INGR","5000","0,74","3700","1","BEZZI DAVIDE","0","ASS"
"71","MOTOR POWER COMPANY SRL","2023","V01","363","31/08/2023 00:00:00","BCIV","2023","714","02/08/2023 00:00:00","GEART10","COD. G6050020087130 - 140P07 PIGN. Z12 M0.6 ",,"INGR","306","1,77","541,62","1","BEZZI DAVIDE","0","FRA"
"71","MOTOR POWER COMPANY SRL","2023","V01","363","31/08/2023 00:00:00","BCIV","2023","714","02/08/2023 00:00:00","GEART14","COD. G6070020015180 - 150P03 PIGN. Z12 M1 ",,"INGR","400","3,5","1400","1","BEZZI DAVIDE","0","FRA"
"71","MOTOR POWER COMPANY SRL","2023","V01","363","31/08/2023 00:00:00","BCIV","2023","723","22/08/2023 00:00:00","GEART06","COD. G6050030154062 - 140O00 SAT.Z23 + LAPP. REV.3",,"INGR","32","2,33","74,56","1","BEZZI DAVIDE","0","FRA"
"71","MOTOR POWER COMPANY SRL","2023","V01","363","31/08/2023 00:00:00","BCIV","2023","725","25/08/2023 00:00:00","GEART06","COD. G6050030154062 - 140O00 SAT.Z23 + LAPP. REV.3",,"INGR","318","2,33","740,94","1","BEZZI DAVIDE","0","FRA"
"200","TECMET 2000","2023","V01","364","31/08/2023 00:00:00","BCIV","2023","718","02/08/2023 00:00:00","TCMET01","COD. - INGRANAGGIO Z60 M0.5 - AISI316",,"INGR","105","15,5","1627,5","0","Default","0","ASS"
"210","DROPSA SPA","2023","V01","365","31/08/2023 00:00:00","BCIV","2023","711","01/08/2023 00:00:00","DR25","COD. 3210132 INGR. COND.RE - REV.1",,"INGR","500","4,1","2050","1","BEZZI DAVIDE","0","ASS"
